countryCode,postalCode,postalCity
SE,11015,Stockholm
SE,11016,Stockholm
SE,11017,Stockholm
SE,11019,Stockholm
SE,11022,Stockholm
SE,11023,Stockholm
SE,11026,Stockholm
SE,11027,Stockholm
SE,11030,Stockholm
SE,11034,Stockholm
SE,11043,Stockholm
SE,11045,Stockholm
SE,11050,Stockholm
SE,11052,Stockholm
SE,11053,Stockholm
SE,11054,Stockholm
SE,11055,Stockholm
SE,11056,Stockholm
SE,11058,Stockholm
SE,11060,Stockholm
SE,11077,Stockholm
SE,11088,Stockholm
SE,11090,Stockholm
SE,11101,Stockholm
SE,11102,Stockholm
SE,11115,Stockholm
SE,11120,Stockholm
SE,11121,Stockholm
SE,11122,Stockholm
SE,11123,Stockholm
SE,11124,Stockholm
SE,11127,Stockholm
SE,11128,Stockholm
SE,11129,Stockholm
SE,11130,Stockholm
SE,11131,Stockholm
SE,11134,Stockholm
SE,11135,Stockholm
SE,11136,Stockholm
SE,11137,Stockholm
SE,11138,Stockholm
SE,11139,Stockholm
SE,11140,Stockholm
SE,11143,Stockholm
SE,11144,Stockholm
SE,11145,Stockholm
SE,11146,Stockholm
SE,11147,Stockholm
SE,11148,Stockholm
SE,11149,Stockholm
SE,11151,Stockholm
SE,11152,Stockholm
SE,11153,Stockholm
SE,11156,Stockholm
SE,11157,Stockholm
SE,11160,Stockholm
SE,11161,Stockholm
SE,11164,Stockholm
SE,11173,Stockholm
SE,11174,Stockholm
SE,11175,Stockholm
SE,11176,Stockholm
SE,11177,Stockholm
SE,11181,Stockholm
SE,11182,Stockholm
SE,11183,Stockholm
SE,11184,Stockholm
SE,11186,Stockholm
SE,11187,Stockholm
SE,11191,Stockholm
SE,11193,Stockholm
SE,11196,Stockholm
SE,11201,Stockholm
SE,11202,Stockholm
SE,11213,Stockholm
SE,11214,Stockholm
SE,11215,Stockholm
SE,11216,Stockholm
SE,11217,Stockholm
SE,11218,Stockholm
SE,11219,Stockholm
SE,11220,Stockholm
SE,11221,Stockholm
SE,11222,Stockholm
SE,11223,Stockholm
SE,11224,Stockholm
SE,11225,Stockholm
SE,11226,Stockholm
SE,11227,Stockholm
SE,11228,Stockholm
SE,11229,Stockholm
SE,11230,Stockholm
SE,11231,Stockholm
SE,11232,Stockholm
SE,11233,Stockholm
SE,11234,Stockholm
SE,11235,Stockholm
SE,11236,Stockholm
SE,11237,Stockholm
SE,11238,Stockholm
SE,11239,Stockholm
SE,11240,Stockholm
SE,11241,Stockholm
SE,11242,Stockholm
SE,11243,Stockholm
SE,11244,Stockholm
SE,11245,Stockholm
SE,11246,Stockholm
SE,11247,Stockholm
SE,11248,Stockholm
SE,11249,Stockholm
SE,11250,Stockholm
SE,11251,Stockholm
SE,11252,Stockholm
SE,11253,Stockholm
SE,11254,Stockholm
SE,11255,Stockholm
SE,11256,Stockholm
SE,11257,Stockholm
SE,11258,Stockholm
SE,11259,Stockholm
SE,11260,Stockholm
SE,11261,Stockholm
SE,11262,Stockholm
SE,11263,Stockholm
SE,11264,Stockholm
SE,11265,Stockholm
SE,11266,Stockholm
SE,11267,Stockholm
SE,11268,Stockholm
SE,11269,Stockholm
SE,11273,Stockholm
SE,11274,Stockholm
SE,11275,Stockholm
SE,11276,Stockholm
SE,11277,Stockholm
SE,11278,Stockholm
SE,11279,Stockholm
SE,11280,Stockholm
SE,11281,Stockholm
SE,11282,Stockholm
SE,11284,Stockholm
SE,11287,Stockholm
SE,11288,Stockholm
SE,11289,Stockholm
SE,11292,Stockholm
SE,11293,Stockholm
SE,11294,Stockholm
SE,11296,Stockholm
SE,11297,Stockholm
SE,11298,Stockholm
SE,11301,Stockholm
SE,11320,Stockholm
SE,11321,Stockholm
SE,11322,Stockholm
SE,11323,Stockholm
SE,11324,Stockholm
SE,11325,Stockholm
SE,11326,Stockholm
SE,11327,Stockholm
SE,11328,Stockholm
SE,11329,Stockholm
SE,11330,Stockholm
SE,11331,Stockholm
SE,11332,Stockholm
SE,11333,Stockholm
SE,11334,Stockholm
SE,11335,Stockholm
SE,11336,Stockholm
SE,11337,Stockholm
SE,11338,Stockholm
SE,11339,Stockholm
SE,11340,Stockholm
SE,11341,Stockholm
SE,11342,Stockholm
SE,11343,Stockholm
SE,11344,Stockholm
SE,11345,Stockholm
SE,11346,Stockholm
SE,11347,Stockholm
SE,11348,Stockholm
SE,11349,Stockholm
SE,11350,Stockholm
SE,11351,Stockholm
SE,11352,Stockholm
SE,11353,Stockholm
SE,11354,Stockholm
SE,11355,Stockholm
SE,11356,Stockholm
SE,11357,Stockholm
SE,11358,Stockholm
SE,11359,Stockholm
SE,11360,Stockholm
SE,11361,Stockholm
SE,11362,Stockholm
SE,11363,Stockholm
SE,11364,Stockholm
SE,11365,Stockholm
SE,11366,Stockholm
SE,11367,Stockholm
SE,11368,Stockholm
SE,11369,Stockholm
SE,11376,Stockholm
SE,11379,Stockholm
SE,11380,Stockholm
SE,11382,Stockholm
SE,11383,Stockholm
SE,11384,Stockholm
SE,11385,Stockholm
SE,11386,Stockholm
SE,11387,Stockholm
SE,11388,Stockholm
SE,11389,Stockholm
SE,11390,Stockholm
SE,11393,Stockholm
SE,11394,Stockholm
SE,11396,Stockholm
SE,11397,Stockholm
SE,11398,Stockholm
SE,11399,Stockholm
SE,11401,Stockholm
SE,11402,Stockholm
SE,11411,Stockholm
SE,11415,Stockholm
SE,11416,Stockholm
SE,11417,Stockholm
SE,11418,Stockholm
SE,11419,Stockholm
SE,11420,Stockholm
SE,11421,Stockholm
SE,11422,Stockholm
SE,11423,Stockholm
SE,11424,Stockholm
SE,11425,Stockholm
SE,11426,Stockholm
SE,11427,Stockholm
SE,11428,Stockholm
SE,11429,Stockholm
SE,11430,Stockholm
SE,11431,Stockholm
SE,11432,Stockholm
SE,11433,Stockholm
SE,11434,Stockholm
SE,11435,Stockholm
SE,11436,Stockholm
SE,11437,Stockholm
SE,11438,Stockholm
SE,11439,Stockholm
SE,11440,Stockholm
SE,11441,Stockholm
SE,11442,Stockholm
SE,11443,Stockholm
SE,11444,Stockholm
SE,11445,Stockholm
SE,11446,Stockholm
SE,11447,Stockholm
SE,11448,Stockholm
SE,11449,Stockholm
SE,11450,Stockholm
SE,11451,Stockholm
SE,11452,Stockholm
SE,11453,Stockholm
SE,11454,Stockholm
SE,11455,Stockholm
SE,11456,Stockholm
SE,11457,Stockholm
SE,11458,Stockholm
SE,11459,Stockholm
SE,11460,Stockholm
SE,11473,Stockholm
SE,11476,Stockholm
SE,11478,Stockholm
SE,11479,Stockholm
SE,11480,Stockholm
SE,11482,Stockholm
SE,11483,Stockholm
SE,11484,Stockholm
SE,11485,Stockholm
SE,11486,Stockholm
SE,11487,Stockholm
SE,11490,Stockholm
SE,11494,Stockholm
SE,11497,Stockholm
SE,11499,Stockholm
SE,11501,Stockholm
SE,11502,Stockholm
SE,11520,Stockholm
SE,11521,Stockholm
SE,11522,Stockholm
SE,11523,Stockholm
SE,11524,Stockholm
SE,11525,Stockholm
SE,11526,Stockholm
SE,11527,Stockholm
SE,11528,Stockholm
SE,11529,Stockholm
SE,11530,Stockholm
SE,11531,Stockholm
SE,11532,Stockholm
SE,11533,Stockholm
SE,11534,Stockholm
SE,11535,Stockholm
SE,11536,Stockholm
SE,11537,Stockholm
SE,11538,Stockholm
SE,11539,Stockholm
SE,11540,Stockholm
SE,11541,Stockholm
SE,11542,Stockholm
SE,11543,Stockholm
SE,11544,Stockholm
SE,11545,Stockholm
SE,11546,Stockholm
SE,11547,Stockholm
SE,11548,Stockholm
SE,11549,Stockholm
SE,11550,Stockholm
SE,11551,Stockholm
SE,11553,Stockholm
SE,11556,Stockholm
SE,11557,Stockholm
SE,11558,Stockholm
SE,11559,Stockholm
SE,11560,Stockholm
SE,11571,Stockholm
SE,11573,Stockholm
SE,11576,Stockholm
SE,11577,Stockholm
SE,11578,Stockholm
SE,11579,Stockholm
SE,11580,Stockholm
SE,11582,Stockholm
SE,11583,Stockholm
SE,11584,Stockholm
SE,11587,Stockholm
SE,11588,Stockholm
SE,11589,Stockholm
SE,11591,Stockholm
SE,11593,Stockholm
SE,11597,Stockholm
SE,11599,Stockholm
SE,11601,Stockholm
SE,11618,Stockholm
